Date,RF_Forecast,ARIMA_Forecast
2017-12-31,3405.4208499999986,1774.122472103283
2018-01-01,3121.958604,2119.258052969875
2018-01-02,2254.470709999999,2666.635155303352
2018-01-03,1135.5159499999997,2506.9379618978714
2018-01-04,1302.4000939999999,1718.5353380940223
2018-01-05,1952.5010920000004,1709.148819146131
2018-01-06,1037.7837000000002,2021.3983347115684
2018-01-07,1593.6155700000006,2096.821826028622
2018-01-08,1637.4447059999993,2145.339943190927
2018-01-09,1722.5329419999991,2076.2630868563515
2018-01-10,1315.2042999999994,1963.7197147788509
2018-01-11,1073.5664399999998,1983.045688969708
2018-01-12,1440.574614,2037.7972891532033
2018-01-13,1551.39752,2049.306394686926
2018-01-14,1690.0559739999999,2049.0400373229586
2018-01-15,2138.325454,2032.7133052680363
2018-01-16,2568.249473999999,2018.202376234335
2018-01-17,1129.9831839999993,2024.7764404238258
2018-01-18,1199.0521959999992,2033.9394871095742
2018-01-19,1464.106535999999,2035.0622898523302
2018-01-20,1485.6576419999994,2033.600913454233
2018-01-21,1738.6388000000006,2030.4889496494436
2018-01-22,2299.6168899999993,2028.9258854985972
2018-01-23,1924.6939579999994,2030.5140914864526
2018-01-24,960.74803,2031.9484515827826
2018-01-25,930.73432,2031.9200954654598
2018-01-26,1274.20003,2031.4650293061788
2018-01-27,1286.971868,2030.9513515050462
2018-01-28,1635.1631320000001,2030.8487976679776
2018-01-29,1709.3105579999994,2031.176641954939
